"ubar","ybar"
2.8,3.3
2.8499999999999996,3.4
2.8999999999999995,3.5
2.9499999999999993,3.6
2.999999999999999,3.7
3.049999999999999,3.8
3.0999999999999988,3.9
3.1499999999999986,4.0
3.1999999999999984,4.1
3.2499999999999982,4.2
3.299999999999998,4.3
3.349999999999998,4.4
3.3999999999999977,4.5
3.4499999999999975,9.8
3.4999999999999973,14.7
3.549999999999997,21.8
3.599999999999997,29.0
3.649999999999997,38.7
3.6999999999999966,50.6
3.7499999999999964,70.3
3.7999999999999963,84.0
