"time","input","output"
0.0,3.5085110023512867,1.2819484372792722
1.0,3.5085110023512867,1.3099476107691004
2.0,3.5085110023512867,1.2234047108914545
3.0,3.5085110023512867,1.2641307814221108
4.0,3.5085110023512867,1.2183139520751212
5.0,3.5085110023512867,1.2590400226057774
6.0,3.5085110023512867,1.2437677461567809
7.0,3.5085110023512867,1.2666761608302757
8.0,3.5085110023512867,1.238676987340451
9.0,3.5085110023512867,1.2004962962179597
10.0,3.5085110023512867,1.2361316079322826
11.0,3.5085110023512867,1.228495469707788
12.0,3.5085110023512867,1.2921299549119354
13.0,3.5085110023512867,1.228495469707788
14.0,3.5085110023512867,1.2997660931364337
15.0,3.5085110023512867,1.3532190607079215
16.0,3.5085110023512867,1.2361316079322826
17.0,3.5085110023512867,1.2157685726669563
18.0,3.5085110023512867,1.2946753343201038
19.0,3.5085110023512867,1.2997660931364337
20.0,3.5085110023512867,1.2972207137282687
21.0,3.5085110023512867,1.2666761608302757
22.0,3.5085110023512867,1.2234047108914545
23.0,3.5085110023512867,1.2132231932587914
24.0,3.5085110023512867,1.2539492637894476
25.0,3.5085110023512867,1.3099476107691004
26.0,3.5085110023512867,1.3023114725446021
27.0,3.5085110023512867,1.2692215402384441
28.0,3.5085110023512867,1.2641307814221108
29.0,3.5085110023512867,1.2768576784629388
30.0,3.5085110023512867,1.2666761608302757
31.0,3.5085110023512867,1.2794030578711073
32.0,3.5085110023512867,1.2641307814221108
33.0,3.5085110023512867,1.2361316079322826
34.0,3.5085110023512867,1.2463131255649493
35.0,3.5085110023512867,1.241222366748616
36.0,3.5085110023512867,1.2030416756261246
37.0,3.5085110023512867,1.317583748993595
38.0,3.5085110023512867,1.2895845755037705
39.0,3.5085110023512867,1.2437677461567809
40.0,3.5085110023512867,1.2921299549119354
41.0,3.5085110023512867,1.2844938166874371
42.0,3.5085110023512867,1.2794030578711073
43.0,3.5085110023512867,1.2870391960956056
44.0,3.5085110023512867,1.2641307814221108
45.0,3.5085110023512867,1.3557644401160864
46.0,3.5085110023512867,1.3201291284017636
47.0,3.5085110023512867,1.2488585049731142
48.0,3.5085110023512867,1.2463131255649493
49.0,3.5085110023512867,1.241222366748616
50.0,3.5085110023512867,1.2361316079322826
51.0,3.5085110023512867,1.2819484372792722
52.0,3.5085110023512867,1.2997660931364337
53.0,3.5085110023512867,1.2615854020139459
54.0,3.5085110023512867,1.2692215402384441
55.0,3.5085110023512867,1.2564946431976125
56.0,3.5085110023512867,1.2590400226057774
57.0,3.5085110023512867,1.358309819524255
58.0,3.5085110023512867,1.2870391960956056
59.0,3.5085110023512867,1.3532190607079215
60.0,3.5085110023512867,1.2564946431976125
61.0,3.5085110023512867,1.2794030578711073
62.0,3.5085110023512867,1.271766919646609
63.0,3.5085110023512867,1.2564946431976125
64.0,3.5085110023512867,1.2310408491159528
65.0,3.5085110023512867,1.2895845755037705
66.0,3.5085110023512867,1.2641307814221108
67.0,3.5085110023512867,1.2972207137282687
68.0,3.5085110023512867,1.2768576784629388
69.0,3.5085110023512867,1.2335862285241177
70.0,3.5085110023512867,1.2972207137282687
71.0,3.5085110023512867,1.2666761608302757
72.0,3.5085110023512867,1.2463131255649493
73.0,3.5085110023512867,1.3023114725446021
74.0,3.5085110023512867,1.2437677461567809
75.0,3.5085110023512867,1.307402231360932
76.0,3.5085110023512867,1.2564946431976125
77.0,3.5085110023512867,1.3150383695854302
78.0,3.5085110023512867,1.2488585049731142
79.0,3.5085110023512867,1.2259500902996194
80.0,3.5085110023512867,1.2819484372792722
81.0,3.5085110023512867,1.2844938166874371
82.0,3.5085110023512867,1.2972207137282687
83.0,3.5085110023512867,1.2183139520751212
84.0,3.5085110023512867,1.2641307814221108
85.0,3.5085110023512867,1.2870391960956056
86.0,3.5085110023512867,1.2463131255649493
87.0,3.5085110023512867,1.2844938166874371
88.0,3.5085110023512867,1.33540140485076
89.0,3.5085110023512867,1.2819484372792722
90.0,3.5085110023512867,1.238676987340451
91.0,3.5085110023512867,1.2794030578711073
92.0,3.5085110023512867,1.337946784258925
93.0,3.5085110023512867,1.2463131255649493
94.0,3.5085110023512867,1.2157685726669563
95.0,3.5085110023512867,1.2463131255649493
96.0,3.5085110023512867,1.2564946431976125
97.0,3.5085110023512867,1.2921299549119354
98.0,3.5085110023512867,1.2539492637894476
99.0,3.5085110023512867,1.2335862285241177
100.0,3.5085110023512867,1.2641307814221108
101.0,3.5085110023512867,1.2361316079322826
102.0,3.5085110023512867,1.2641307814221108
103.0,3.5085110023512867,1.2234047108914545
104.0,3.5085110023512867,1.2335862285241177
105.0,3.5085110023512867,1.1648609845036368
106.0,3.5085110023512867,1.2819484372792722
107.0,3.5085110023512867,1.2590400226057774
108.0,3.5085110023512867,1.2844938166874371
109.0,3.660162246721079,1.2335862285241177
110.0,3.660162246721079,1.3557644401160864
111.0,3.660162246721079,1.2692215402384441
112.0,3.660162246721079,1.2794030578711073
113.0,3.660162246721079,1.2666761608302757
114.0,3.660162246721079,1.3150383695854302
115.0,3.660162246721079,1.2539492637894476
116.0,3.660162246721079,1.3099476107691004
117.0,3.660162246721079,1.2844938166874371
118.0,3.660162246721079,1.2946753343201038
119.0,3.660162246721079,1.2514038843812791
120.0,3.660162246721079,1.2157685726669563
121.0,3.660162246721079,1.2870391960956056
122.0,3.660162246721079,1.2666761608302757
123.0,3.660162246721079,1.2844938166874371
124.0,3.660162246721079,1.2895845755037705
125.0,3.660162246721079,1.2514038843812791
126.0,3.660162246721079,1.2794030578711073
127.0,3.660162246721079,1.2921299549119354
128.0,3.660162246721079,1.2972207137282687
129.0,3.660162246721079,1.2844938166874371
130.0,3.660162246721079,1.3506736812997566
131.0,3.660162246721079,1.2870391960956056
132.0,3.660162246721079,1.3201291284017636
133.0,3.660162246721079,1.3481283018915882
134.0,3.660162246721079,1.3430375430752584
135.0,3.660162246721079,1.3608551989324198
136.0,3.660162246721079,1.4143081665039041
137.0,3.660162246721079,1.3023114725446021
138.0,3.660162246721079,1.3990358900549111
139.0,3.660162246721079,1.3328560254425916
140.0,3.660162246721079,1.2972207137282687
141.0,3.660162246721079,1.371036716565083
142.0,3.660162246721079,1.3837636136059146
143.0,3.660162246721079,1.3659459577487496
144.0,3.660162246721079,1.3812182341977461
145.0,3.660162246721079,1.33540140485076
146.0,3.660162246721079,1.3939451312385778
